order_id,customer_id,order_date,city,courier_partner,promised_date,delivery_date,order_status
O24,C56,11/3/2025 0:00,Nagpur,ShipNow,11/5/2025 0:00,11/5/2025 0:00,Delivered
O25,C350,11/22/2025 0:00,Indore,FastEx,11/24/2025 0:00,11/25/2025 0:00,Delivered
O26,C107,10/20/2025 0:00,Pune,FastEx,10/22/2025 0:00,10/24/2025 0:00,Cancelled
O27,C319,12/14/2025 0:00,Mumbai,QuickShip,12/18/2025 0:00,12/19/2025 0:00,Delivered
O28,C48,10/16/2025 0:00,Indore,QuickShip,10/19/2025 0:00,10/21/2025 0:00,Delivered
O29,C61,12/9/2025 0:00,Nagpur,FastEx,12/12/2025 0:00,12/14/2025 0:00,Delivered
O30,C337,11/25/2025 0:00,Indore,FastEx,11/27/2025 0:00,11/28/2025 0:00,Delivered
O31,C26,12/22/2025 0:00,Mumbai,QuickShip,12/24/2025 0:00,12/28/2025 0:00,RTO
O32,C292,11/27/2025 0:00,Indore,ShipNow,11/29/2025 0:00,12/1/2025 0:00,Delivered
O33,C257,10/4/2025 0:00,Indore,FastEx,10/8/2025 0:00,10/9/2025 0:00,Delivered
O34,C8,10/4/2025 0:00,Mumbai,FastEx,10/8/2025 0:00,10/8/2025 0:00,Delivered
O35,C113,10/20/2025 0:00,Pune,QuickShip,10/23/2025 0:00,10/25/2025 0:00,Delivered
O36,C355,10/10/2025 0:00,Pune,FastEx,10/12/2025 0:00,10/13/2025 0:00,Delivered
O37,C253,10/24/2025 0:00,Mumbai,ShipNow,10/26/2025 0:00,10/26/2025 0:00,Delivered
O38,C180,10/26/2025 0:00,Indore,ShipNow,10/28/2025 0:00,10/31/2025 0:00,Delivered
O39,C207,11/6/2025 0:00,Mumbai,QuickShip,11/8/2025 0:00,11/10/2025 0:00,Delivered
O40,C303,12/24/2025 0:00,Pune,FastEx,12/28/2025 0:00,12/30/2025 0:00,Delivered
O41,C127,11/23/2025 0:00,Nagpur,ShipNow,11/26/2025 0:00,11/26/2025 0:00,Delivered
O42,C56,10/21/2025 0:00,Indore,QuickShip,10/24/2025 0:00,10/29/2025 0:00,RTO
O43,C214,12/13/2025 0:00,Pune,ShipNow,12/17/2025 0:00,12/17/2025 0:00,Delivered
O44,C14,11/7/2025 0:00,Indore,QuickShip,11/9/2025 0:00,11/12/2025 0:00,Delivered
O45,C28,11/15/2025 0:00,Mumbai,ShipNow,11/18/2025 0:00,11/18/2025 0:00,Delivered
O46,C78,10/4/2025 0:00,Nagpur,QuickShip,10/7/2025 0:00,10/9/2025 0:00,Delivered
O47,C216,11/29/2025 0:00,Mumbai,QuickShip,12/3/2025 0:00,12/6/2025 0:00,Cancelled
O48,C386,11/26/2025 0:00,Nagpur,ShipNow,11/28/2025 0:00,11/28/2025 0:00,Delivered
O49,C365,11/14/2025 0:00,Indore,QuickShip,11/17/2025 0:00,11/18/2025 0:00,Delivered
O50,C154,10/20/2025 0:00,Indore,QuickShip,10/22/2025 0:00,10/26/2025 0:00,RTO
O51,C14,10/17/2025 0:00,Mumbai,FastEx,10/20/2025 0:00,10/21/2025 0:00,Delivered
O52,C187,12/10/2025 0:00,Nagpur,QuickShip,12/14/2025 0:00,12/18/2025 0:00,RTO
O53,C312,10/4/2025 0:00,Nagpur,QuickShip,10/6/2025 0:00,10/10/2025 0:00,RTO
O54,C371,10/14/2025 0:00,Indore,FastEx,10/18/2025 0:00,10/20/2025 0:00,Delivered
O55,C7,10/3/2025 0:00,Mumbai,FastEx,10/6/2025 0:00,10/6/2025 0:00,Delivered
O56,C3,12/27/2025 0:00,Nagpur,QuickShip,12/31/2025 0:00,1/3/2026 0:00,Delivered
O57,C111,12/19/2025 0:00,Indore,ShipNow,12/23/2025 0:00,12/23/2025 0:00,Delivered
O58,C238,11/27/2025 0:00,Pune,QuickShip,12/1/2025 0:00,12/4/2025 0:00,Delivered
O59,C363,11/24/2025 0:00,Mumbai,FastEx,11/27/2025 0:00,11/27/2025 0:00,Cancelled
O60,C239,10/4/2025 0:00,Pune,QuickShip,10/6/2025 0:00,10/8/2025 0:00,Delivered
O61,C274,10/24/2025 0:00,Mumbai,FastEx,10/28/2025 0:00,10/28/2025 0:00,Cancelled
O62,C294,11/3/2025 0:00,Indore,QuickShip,11/5/2025 0:00,11/9/2025 0:00,RTO
O63,C227,10/30/2025 0:00,Nagpur,FastEx,11/2/2025 0:00,11/2/2025 0:00,Delivered
O64,C371,12/21/2025 0:00,Nagpur,FastEx,12/23/2025 0:00,12/24/2025 0:00,Cancelled
O65,C15,10/19/2025 0:00,Nagpur,FastEx,10/23/2025 0:00,10/24/2025 0:00,Delivered
O66,C192,10/31/2025 0:00,Mumbai,FastEx,11/4/2025 0:00,11/4/2025 0:00,Cancelled
O67,C119,11/29/2025 0:00,Indore,FastEx,12/3/2025 0:00,12/5/2025 0:00,Delivered
O68,C28,11/29/2025 0:00,Pune,FastEx,12/3/2025 0:00,12/3/2025 0:00,Delivered
O69,C202,10/19/2025 0:00,Indore,QuickShip,10/23/2025 0:00,10/26/2025 0:00,Cancelled
O70,C39,11/18/2025 0:00,Pune,QuickShip,11/22/2025 0:00,11/23/2025 0:00,Delivered
O71,C273,12/2/2025 0:00,Mumbai,FastEx,12/5/2025 0:00,12/7/2025 0:00,Delivered
O72,C231,12/22/2025 0:00,Mumbai,ShipNow,12/25/2025 0:00,12/26/2025 0:00,Delivered
O73,C86,10/22/2025 0:00,Pune,FastEx,10/25/2025 0:00,10/27/2025 0:00,Cancelled
O74,C126,10/24/2025 0:00,Pune,QuickShip,10/26/2025 0:00,10/28/2025 0:00,Delivered
O75,C300,12/15/2025 0:00,Pune,FastEx,12/17/2025 0:00,12/18/2025 0:00,Cancelled
O76,C25,10/30/2025 0:00,Indore,FastEx,11/2/2025 0:00,11/3/2025 0:00,Cancelled
O77,C145,11/27/2025 0:00,Pune,QuickShip,11/29/2025 0:00,12/3/2025 0:00,RTO
O78,C13,10/31/2025 0:00,Mumbai,QuickShip,11/2/2025 0:00,11/3/2025 0:00,Delivered
O79,C212,12/3/2025 0:00,Mumbai,ShipNow,12/7/2025 0:00,12/7/2025 0:00,Delivered
O80,C25,10/19/2025 0:00,Nagpur,QuickShip,10/23/2025 0:00,10/24/2025 0:00,Delivered
O81,C68,11/17/2025 0:00,Pune,ShipNow,11/19/2025 0:00,11/19/2025 0:00,Cancelled
O82,C394,11/14/2025 0:00,Indore,FastEx,11/16/2025 0:00,11/16/2025 0:00,Delivered
O83,C67,11/24/2025 0:00,Indore,FastEx,11/27/2025 0:00,11/29/2025 0:00,Delivered
O84,C233,11/24/2025 0:00,Indore,FastEx,11/26/2025 0:00,11/29/2025 0:00,Delivered
O85,C109,10/18/2025 0:00,Nagpur,FastEx,10/22/2025 0:00,10/25/2025 0:00,Delivered
O86,C146,12/2/2025 0:00,Mumbai,QuickShip,12/4/2025 0:00,12/7/2025 0:00,Delivered
O87,C111,11/16/2025 0:00,Indore,QuickShip,11/19/2025 0:00,11/22/2025 0:00,Delivered
O88,C228,12/14/2025 0:00,Mumbai,FastEx,12/18/2025 0:00,12/20/2025 0:00,Delivered
O89,C111,11/26/2025 0:00,Nagpur,ShipNow,11/30/2025 0:00,12/3/2025 0:00,Delivered
O90,C34,11/14/2025 0:00,Pune,ShipNow,11/18/2025 0:00,11/18/2025 0:00,Delivered
O91,C111,11/2/2025 0:00,Pune,FastEx,11/6/2025 0:00,11/7/2025 0:00,Delivered
O92,C264,10/17/2025 0:00,Pune,FastEx,10/19/2025 0:00,10/21/2025 0:00,Delivered
O93,C369,12/9/2025 0:00,Indore,FastEx,12/12/2025 0:00,12/14/2025 0:00,Delivered
O94,C236,10/4/2025 0:00,Pune,FastEx,10/6/2025 0:00,10/8/2025 0:00,Delivered
O95,C83,10/20/2025 0:00,Indore,FastEx,10/22/2025 0:00,10/25/2025 0:00,Delivered
O96,C42,11/16/2025 0:00,Nagpur,QuickShip,11/20/2025 0:00,11/21/2025 0:00,Delivered
O97,C101,10/15/2025 0:00,Nagpur,FastEx,10/18/2025 0:00,10/19/2025 0:00,Delivered
O98,C6,12/9/2025 0:00,Indore,FastEx,12/13/2025 0:00,12/13/2025 0:00,Delivered
O99,C180,11/16/2025 0:00,Mumbai,ShipNow,11/18/2025 0:00,11/18/2025 0:00,Delivered
O100,C282,12/17/2025 0:00,Pune,QuickShip,12/19/2025 0:00,12/21/2025 0:00,Delivered
O101,C320,12/14/2025 0:00,Pune,ShipNow,12/18/2025 0:00,12/18/2025 0:00,Delivered
O102,C226,10/9/2025 0:00,Pune,FastEx,10/11/2025 0:00,10/13/2025 0:00,Delivered
O103,C315,12/29/2025 0:00,Indore,FastEx,12/31/2025 0:00,1/2/2026 0:00,Delivered
O104,C365,10/16/2025 0:00,Nagpur,QuickShip,10/20/2025 0:00,10/24/2025 0:00,RTO
O105,C229,12/8/2025 0:00,Pune,FastEx,12/10/2025 0:00,12/12/2025 0:00,Delivered
O106,C377,11/30/2025 0:00,Nagpur,FastEx,12/3/2025 0:00,12/6/2025 0:00,Delivered
O107,C289,10/10/2025 0:00,Pune,QuickShip,10/14/2025 0:00,10/16/2025 0:00,Cancelled
O108,C150,11/19/2025 0:00,Pune,QuickShip,11/22/2025 0:00,11/23/2025 0:00,Delivered
O109,C277,10/3/2025 0:00,Indore,QuickShip,10/5/2025 0:00,10/8/2025 0:00,Delivered
O110,C198,12/16/2025 0:00,Mumbai,QuickShip,12/18/2025 0:00,12/21/2025 0:00,Cancelled
O111,C70,12/9/2025 0:00,Indore,QuickShip,12/13/2025 0:00,12/15/2025 0:00,Delivered
O112,C112,12/20/2025 0:00,Pune,FastEx,12/22/2025 0:00,12/23/2025 0:00,Delivered
O113,C4,11/20/2025 0:00,Pune,FastEx,11/24/2025 0:00,11/24/2025 0:00,Delivered
O114,C350,10/19/2025 0:00,Mumbai,FastEx,10/23/2025 0:00,10/23/2025 0:00,Delivered
O115,C331,11/11/2025 0:00,Nagpur,FastEx,11/15/2025 0:00,11/15/2025 0:00,Delivered
O116,C318,11/4/2025 0:00,Nagpur,ShipNow,11/8/2025 0:00,11/9/2025 0:00,Delivered
O117,C350,11/15/2025 0:00,Pune,QuickShip,11/19/2025 0:00,11/20/2025 0:00,Delivered
O118,C95,10/26/2025 0:00,Nagpur,QuickShip,10/29/2025 0:00,10/31/2025 0:00,Delivered
O119,C152,12/8/2025 0:00,Pune,FastEx,12/12/2025 0:00,12/14/2025 0:00,Cancelled
O120,C311,12/3/2025 0:00,Mumbai,FastEx,12/6/2025 0:00,12/8/2025 0:00,Delivered
O121,C137,11/6/2025 0:00,Mumbai,FastEx,11/8/2025 0:00,11/9/2025 0:00,Delivered
O122,C247,12/23/2025 0:00,Pune,FastEx,12/27/2025 0:00,12/29/2025 0:00,Delivered
O123,C387,11/18/2025 0:00,Mumbai,FastEx,11/20/2025 0:00,11/22/2025 0:00,Cancelled
O124,C243,10/21/2025 0:00,Indore,ShipNow,10/25/2025 0:00,10/27/2025 0:00,Delivered
O125,C31,12/13/2025 0:00,Indore,QuickShip,12/16/2025 0:00,12/19/2025 0:00,Delivered
O126,C40,12/3/2025 0:00,Mumbai,QuickShip,12/6/2025 0:00,12/8/2025 0:00,Delivered
O127,C229,10/5/2025 0:00,Pune,QuickShip,10/8/2025 0:00,10/11/2025 0:00,Delivered
O128,C36,12/9/2025 0:00,Pune,ShipNow,12/11/2025 0:00,12/13/2025 0:00,Delivered
O129,C223,12/29/2025 0:00,Mumbai,FastEx,1/2/2026 0:00,1/4/2026 0:00,Delivered
O130,C6,10/4/2025 0:00,Nagpur,FastEx,10/6/2025 0:00,10/6/2025 0:00,Delivered
O131,C322,11/8/2025 0:00,Indore,FastEx,11/11/2025 0:00,11/11/2025 0:00,Delivered
O132,C220,11/4/2025 0:00,Nagpur,ShipNow,11/6/2025 0:00,11/7/2025 0:00,Delivered
O133,C75,10/1/2025 0:00,Pune,ShipNow,10/4/2025 0:00,10/5/2025 0:00,Delivered
O134,C4,10/24/2025 0:00,Pune,FastEx,10/27/2025 0:00,10/29/2025 0:00,Delivered
O135,C335,11/26/2025 0:00,Nagpur,ShipNow,11/29/2025 0:00,12/1/2025 0:00,Delivered
O136,C134,12/9/2025 0:00,Mumbai,ShipNow,12/13/2025 0:00,12/14/2025 0:00,Delivered
O137,C118,11/10/2025 0:00,Nagpur,FastEx,11/14/2025 0:00,11/16/2025 0:00,Delivered
O138,C369,11/23/2025 0:00,Nagpur,FastEx,11/26/2025 0:00,11/29/2025 0:00,Delivered
O139,C94,11/15/2025 0:00,Indore,QuickShip,11/17/2025 0:00,11/19/2025 0:00,Delivered
O140,C62,11/29/2025 0:00,Indore,ShipNow,12/1/2025 0:00,12/3/2025 0:00,Delivered
O141,C194,11/29/2025 0:00,Nagpur,FastEx,12/3/2025 0:00,12/5/2025 0:00,Cancelled
O142,C335,11/26/2025 0:00,Nagpur,ShipNow,11/29/2025 0:00,11/30/2025 0:00,Cancelled
O143,C203,10/31/2025 0:00,Pune,FastEx,11/2/2025 0:00,11/3/2025 0:00,Delivered
O144,C392,12/23/2025 0:00,Indore,QuickShip,12/26/2025 0:00,12/29/2025 0:00,Cancelled
O145,C26,10/24/2025 0:00,Indore,QuickShip,10/26/2025 0:00,10/28/2025 0:00,Cancelled
O146,C173,12/28/2025 0:00,Pune,QuickShip,1/1/2026 0:00,1/3/2026 0:00,Delivered
O147,C300,11/5/2025 0:00,Mumbai,ShipNow,11/8/2025 0:00,11/8/2025 0:00,Delivered
O148,C133,12/24/2025 0:00,Indore,ShipNow,12/27/2025 0:00,12/29/2025 0:00,Delivered
O149,C326,10/30/2025 0:00,Indore,ShipNow,11/1/2025 0:00,11/2/2025 0:00,Delivered
O150,C118,10/24/2025 0:00,Mumbai,FastEx,10/26/2025 0:00,10/28/2025 0:00,Delivered
O151,C324,10/30/2025 0:00,Indore,QuickShip,11/1/2025 0:00,11/2/2025 0:00,Cancelled
O152,C275,12/25/2025 0:00,Indore,FastEx,12/28/2025 0:00,12/29/2025 0:00,Delivered
O153,C212,10/7/2025 0:00,Mumbai,QuickShip,10/11/2025 0:00,10/13/2025 0:00,Delivered
O154,C225,11/4/2025 0:00,Mumbai,QuickShip,11/8/2025 0:00,11/11/2025 0:00,Delivered
O155,C20,11/24/2025 0:00,Nagpur,QuickShip,11/26/2025 0:00,11/29/2025 0:00,Delivered
O156,C113,10/14/2025 0:00,Pune,QuickShip,10/18/2025 0:00,10/22/2025 0:00,RTO
O157,C140,10/10/2025 0:00,Pune,ShipNow,10/12/2025 0:00,10/14/2025 0:00,Delivered
O158,C47,12/19/2025 0:00,Mumbai,FastEx,12/23/2025 0:00,12/23/2025 0:00,Delivered
O159,C1,10/16/2025 0:00,Mumbai,QuickShip,10/19/2025 0:00,10/23/2025 0:00,RTO
O160,C90,11/23/2025 0:00,Indore,FastEx,11/25/2025 0:00,11/28/2025 0:00,Delivered
O161,C142,12/28/2025 0:00,Nagpur,FastEx,1/1/2026 0:00,1/3/2026 0:00,Delivered
O162,C320,12/16/2025 0:00,Nagpur,FastEx,12/19/2025 0:00,12/20/2025 0:00,Delivered
O163,C38,12/9/2025 0:00,Mumbai,ShipNow,12/13/2025 0:00,12/15/2025 0:00,Delivered
O164,C293,11/13/2025 0:00,Indore,ShipNow,11/16/2025 0:00,11/17/2025 0:00,Delivered
O165,C382,12/12/2025 0:00,Indore,ShipNow,12/15/2025 0:00,12/16/2025 0:00,Delivered
O166,C139,11/14/2025 0:00,Pune,ShipNow,11/18/2025 0:00,11/19/2025 0:00,Delivered
O167,C356,11/25/2025 0:00,Pune,FastEx,11/29/2025 0:00,12/1/2025 0:00,Delivered
O168,C333,12/23/2025 0:00,Indore,FastEx,12/26/2025 0:00,12/28/2025 0:00,Delivered
O169,C259,12/21/2025 0:00,Pune,QuickShip,12/24/2025 0:00,12/26/2025 0:00,Cancelled
O170,C161,11/26/2025 0:00,Mumbai,QuickShip,11/29/2025 0:00,11/30/2025 0:00,Delivered
O171,C390,10/21/2025 0:00,Indore,QuickShip,10/23/2025 0:00,10/25/2025 0:00,Delivered
O172,C178,12/7/2025 0:00,Pune,FastEx,12/10/2025 0:00,12/12/2025 0:00,Delivered
O173,C10,11/19/2025 0:00,Nagpur,QuickShip,11/21/2025 0:00,11/25/2025 0:00,RTO
O174,C261,11/2/2025 0:00,Indore,QuickShip,11/5/2025 0:00,11/8/2025 0:00,Delivered
O175,C138,10/7/2025 0:00,Indore,FastEx,10/9/2025 0:00,10/10/2025 0:00,Delivered
O176,C172,12/9/2025 0:00,Nagpur,QuickShip,12/12/2025 0:00,12/15/2025 0:00,Delivered
O177,C386,10/15/2025 0:00,Mumbai,QuickShip,10/18/2025 0:00,10/21/2025 0:00,Delivered
O178,C13,12/21/2025 0:00,Nagpur,QuickShip,12/24/2025 0:00,12/28/2025 0:00,RTO
O179,C168,11/1/2025 0:00,Indore,FastEx,11/5/2025 0:00,11/7/2025 0:00,Delivered
O180,C130,12/14/2025 0:00,Mumbai,QuickShip,12/18/2025 0:00,12/20/2025 0:00,Delivered
O181,C84,10/20/2025 0:00,Pune,FastEx,10/23/2025 0:00,10/24/2025 0:00,Delivered
O182,C321,12/27/2025 0:00,Pune,FastEx,12/29/2025 0:00,12/29/2025 0:00,Delivered
O183,C319,10/15/2025 0:00,Pune,ShipNow,10/17/2025 0:00,10/17/2025 0:00,Delivered
O184,C101,11/17/2025 0:00,Indore,QuickShip,11/20/2025 0:00,11/24/2025 0:00,RTO
O185,C329,12/10/2025 0:00,Nagpur,FastEx,12/14/2025 0:00,12/15/2025 0:00,Delivered
O186,C273,10/21/2025 0:00,Mumbai,QuickShip,10/23/2025 0:00,10/24/2025 0:00,Delivered
O187,C265,11/11/2025 0:00,Pune,QuickShip,11/15/2025 0:00,11/16/2025 0:00,Delivered
O188,C399,10/26/2025 0:00,Mumbai,ShipNow,10/28/2025 0:00,10/28/2025 0:00,Delivered
O189,C38,10/14/2025 0:00,Indore,QuickShip,10/17/2025 0:00,10/19/2025 0:00,Delivered
O190,C94,11/26/2025 0:00,Pune,QuickShip,11/30/2025 0:00,12/3/2025 0:00,Delivered
O191,C95,11/6/2025 0:00,Indore,QuickShip,11/8/2025 0:00,11/11/2025 0:00,Delivered
O192,C305,11/27/2025 0:00,Nagpur,FastEx,11/30/2025 0:00,11/30/2025 0:00,Cancelled
O193,C69,10/21/2025 0:00,Indore,FastEx,10/24/2025 0:00,10/26/2025 0:00,Delivered
O194,C318,12/21/2025 0:00,Indore,QuickShip,12/24/2025 0:00,12/27/2025 0:00,Delivered
O195,C236,12/8/2025 0:00,Nagpur,QuickShip,12/12/2025 0:00,12/15/2025 0:00,Delivered
O196,C334,10/3/2025 0:00,Mumbai,QuickShip,10/7/2025 0:00,10/10/2025 0:00,Cancelled
O197,C373,12/26/2025 0:00,Nagpur,FastEx,12/29/2025 0:00,12/29/2025 0:00,Delivered
O198,C376,12/29/2025 0:00,Nagpur,FastEx,1/2/2026 0:00,1/2/2026 0:00,Delivered
O199,C137,11/6/2025 0:00,Indore,QuickShip,11/8/2025 0:00,11/12/2025 0:00,RTO
O200,C76,12/27/2025 0:00,Mumbai,FastEx,12/30/2025 0:00,12/31/2025 0:00,Delivered
O201,C35,11/18/2025 0:00,Pune,QuickShip,11/21/2025 0:00,11/24/2025 0:00,Delivered
O202,C1,10/19/2025 0:00,Nagpur,FastEx,10/23/2025 0:00,10/25/2025 0:00,Delivered
O203,C296,12/28/2025 0:00,Mumbai,QuickShip,12/31/2025 0:00,1/2/2026 0:00,Delivered
O204,C320,12/24/2025 0:00,Nagpur,ShipNow,12/26/2025 0:00,12/29/2025 0:00,Delivered
O205,C60,10/12/2025 0:00,Nagpur,FastEx,10/16/2025 0:00,10/18/2025 0:00,Delivered
O206,C320,11/30/2025 0:00,Nagpur,QuickShip,12/4/2025 0:00,12/5/2025 0:00,Delivered
O207,C349,11/10/2025 0:00,Nagpur,FastEx,11/13/2025 0:00,11/13/2025 0:00,Cancelled
O208,C328,11/2/2025 0:00,Indore,QuickShip,11/5/2025 0:00,11/9/2025 0:00,RTO
O209,C267,11/19/2025 0:00,Mumbai,QuickShip,11/22/2025 0:00,11/23/2025 0:00,Delivered
O210,C361,12/7/2025 0:00,Mumbai,QuickShip,12/11/2025 0:00,12/13/2025 0:00,Cancelled
O211,C229,12/10/2025 0:00,Mumbai,QuickShip,12/13/2025 0:00,12/15/2025 0:00,Delivered
O212,C270,12/25/2025 0:00,Nagpur,ShipNow,12/27/2025 0:00,12/30/2025 0:00,Delivered
O213,C316,11/2/2025 0:00,Indore,FastEx,11/5/2025 0:00,11/8/2025 0:00,Cancelled
O214,C286,12/20/2025 0:00,Nagpur,FastEx,12/23/2025 0:00,12/24/2025 0:00,Delivered
O215,C291,10/24/2025 0:00,Nagpur,ShipNow,10/28/2025 0:00,10/29/2025 0:00,Delivered
O216,C213,11/30/2025 0:00,Mumbai,QuickShip,12/3/2025 0:00,12/7/2025 0:00,RTO
O217,C165,11/30/2025 0:00,Nagpur,ShipNow,12/4/2025 0:00,12/6/2025 0:00,Delivered
O218,C5,10/28/2025 0:00,Pune,QuickShip,10/31/2025 0:00,11/2/2025 0:00,Delivered
O219,C339,11/27/2025 0:00,Nagpur,ShipNow,11/29/2025 0:00,11/30/2025 0:00,Cancelled
O220,C379,11/12/2025 0:00,Pune,QuickShip,11/14/2025 0:00,11/16/2025 0:00,Delivered
O221,C78,11/10/2025 0:00,Nagpur,QuickShip,11/14/2025 0:00,11/18/2025 0:00,RTO
O222,C62,11/8/2025 0:00,Indore,ShipNow,11/12/2025 0:00,11/12/2025 0:00,Delivered
O223,C132,12/25/2025 0:00,Indore,QuickShip,12/28/2025 0:00,12/29/2025 0:00,Delivered
O224,C89,11/18/2025 0:00,Mumbai,FastEx,11/21/2025 0:00,11/21/2025 0:00,Delivered
O225,C237,10/17/2025 0:00,Nagpur,FastEx,10/19/2025 0:00,10/20/2025 0:00,Delivered
O226,C42,12/9/2025 0:00,Pune,FastEx,12/12/2025 0:00,12/14/2025 0:00,Delivered
O227,C89,12/9/2025 0:00,Pune,FastEx,12/11/2025 0:00,12/13/2025 0:00,Delivered
O228,C296,12/4/2025 0:00,Nagpur,FastEx,12/8/2025 0:00,12/10/2025 0:00,Delivered
O229,C328,12/13/2025 0:00,Pune,QuickShip,12/16/2025 0:00,12/20/2025 0:00,RTO
O230,C295,12/24/2025 0:00,Indore,QuickShip,12/28/2025 0:00,12/30/2025 0:00,Delivered
O231,C104,10/5/2025 0:00,Pune,QuickShip,10/8/2025 0:00,10/11/2025 0:00,Delivered
O232,C14,10/2/2025 0:00,Mumbai,QuickShip,10/4/2025 0:00,10/7/2025 0:00,Delivered
O233,C288,10/22/2025 0:00,Indore,FastEx,10/26/2025 0:00,10/29/2025 0:00,Delivered
O234,C179,11/26/2025 0:00,Indore,FastEx,11/30/2025 0:00,11/30/2025 0:00,Delivered
O235,C125,12/5/2025 0:00,Indore,FastEx,12/8/2025 0:00,12/8/2025 0:00,Delivered
O236,C353,12/13/2025 0:00,Nagpur,QuickShip,12/17/2025 0:00,12/21/2025 0:00,RTO
O237,C23,10/16/2025 0:00,Nagpur,FastEx,10/18/2025 0:00,10/20/2025 0:00,Delivered
O238,C63,11/20/2025 0:00,Indore,FastEx,11/24/2025 0:00,11/26/2025 0:00,Delivered
O239,C143,11/8/2025 0:00,Nagpur,QuickShip,11/12/2025 0:00,11/14/2025 0:00,Delivered
O240,C153,12/25/2025 0:00,Pune,ShipNow,12/28/2025 0:00,12/30/2025 0:00,Delivered
O241,C145,12/15/2025 0:00,Nagpur,FastEx,12/19/2025 0:00,12/21/2025 0:00,Delivered
O242,C225,12/27/2025 0:00,Nagpur,QuickShip,12/30/2025 0:00,1/2/2026 0:00,Delivered
O243,C309,11/9/2025 0:00,Indore,QuickShip,11/12/2025 0:00,11/17/2025 0:00,RTO
O244,C104,11/7/2025 0:00,Mumbai,ShipNow,11/11/2025 0:00,11/13/2025 0:00,Delivered
O245,C104,11/29/2025 0:00,Mumbai,ShipNow,12/1/2025 0:00,12/2/2025 0:00,Delivered
O246,C39,11/28/2025 0:00,Mumbai,FastEx,12/1/2025 0:00,12/2/2025 0:00,Delivered
O247,C198,10/10/2025 0:00,Pune,FastEx,10/14/2025 0:00,10/14/2025 0:00,Delivered
O248,C134,12/3/2025 0:00,Nagpur,ShipNow,12/6/2025 0:00,12/7/2025 0:00,Cancelled
O249,C67,12/2/2025 0:00,Mumbai,QuickShip,12/4/2025 0:00,12/6/2025 0:00,Delivered
O250,C391,11/18/2025 0:00,Indore,QuickShip,11/20/2025 0:00,11/23/2025 0:00,Delivered
O251,C179,12/3/2025 0:00,Mumbai,QuickShip,12/6/2025 0:00,12/9/2025 0:00,Delivered
O252,C42,11/1/2025 0:00,Mumbai,QuickShip,11/3/2025 0:00,11/7/2025 0:00,RTO
O253,C15,10/7/2025 0:00,Nagpur,ShipNow,10/11/2025 0:00,10/12/2025 0:00,Delivered
O254,C111,10/21/2025 0:00,Nagpur,ShipNow,10/25/2025 0:00,10/25/2025 0:00,Delivered
